메뉴,가격정보
[반찬] 사골 우거지 곰탕,"4,900"
[착한도시락] 참치야채 감초고추장 사골 우거지 곰탕 정식,"7,500"
[착한도시락] 빅치킨마요 사골 우거지 곰탕 정식,"7,900"
[착한도시락] 제육 사골 우거지 곰탕 정식,"8,900"
[착한도시락] 사골 우거지 곰탕,"6,500"
알통팩(알찬 통다리 치킨팩),"11,900"
잡채볶음밥(중화풍 매운맛),"5,500"
잡채볶음밥(오리지널),"5,300"
해바라기,"10,000"
핫 치즈 닭갈비덮밥,"5,900"
오리지널 치즈 닭갈비덮밥,"5,900"
매화,"10,000"
진달래,"7,500"
개나리,"8,500"
돈까스도련님고기고기,"6,000"
탕수육도련님고기고기,"5,800"
새치 고기고기,"6,700"
돈치 고기고기,"5,800"
숯불직화구이,"6,500"
소불고기,"5,400"
메가치킨제육,"7,000"
칠리 찹쌀탕수육도련님,"4,200"
동백,"5,800"
치킨제육,"4,700"
돈까스도련님,"4,500"
제육볶음,"4,200"
돈치스팸 도시락,"4,900"
제육 김치찌개 정식,"8,200"
제육 김치 부대찌개 정식,"8,500"
돈치스팸 김치 부대찌개 정식,"8,500"
빅치킨마요 김치 부대찌개 정식,"7,500"
치킨마요 김치 부대찌개 정식,"6,900"
빅치킨마요 김치찌개 정식,"7,000"
치킨마요 김치찌개 정식,"6,500"
메가스팸마요,"5,600"
스팸마요,"3,700"
메가치킨마요,"5,800"
왕치킨마요,"4,800"
빅치킨마요,"4,100"
치킨마요,"3,500"
참치마요,"3,500"
돈치마요,"3,800"
돈까스 카레,"4,500"
스팸 김치볶음밥,"4,700"
김치볶음밥,"3,900"
스팸철판볶음밥,"4,500"
소불고기 철판볶음밥,"4,700"
나시고랭,"6,000"
묵은지 김치찌개,"4,500"
김치 부대찌개,"5,800"
숯불직화구이 덮밥,"5,900"
마파두부 덮밥,"5,000"
왕카레돈까스덮밥,"5,900"
새우돈까스 덮밥,"4,100"
돈까스 덮밥,"4,000"
소불고기 감초고추장 비빔밥,"5,200"
시골제육 두부강된장 비빔밥,"5,000"
참치야채 감초고추장,"3,500"
튼튼도시락,"5,000"
토네이도 소세지 파스타,"5,500"
트리플 치즈 파스타,"5,500"
토마토 미트 파스타,"4,500"
반찬 계란말이,"2,500"
반찬 묵은지김치찌개,"4,000"
반찬 카레,"2,800"
반찬 김치 부대찌개,"4,500"
반찬 치킨,"3,600"
반찬 고기고기,"3,400"
반찬 돈까스 도련님,"3,800"
반찬 제육볶음,"3,200"
반찬 토네이도 소세지,"2,600"
반찬 반달돈까스,"2,800"
뉴 감자고로케,"2,700"
미니 찹쌀핫도그,"2,500"
미니 찹쌀탕수육,"2,200"
케이준후라이,"1,900"
후라이드 순살(중),"7,500"
후라이드 순살(소)_양념치킨소스,"4,000"
후라이드 순살(소)_케이준소스,"4,000"
오리지널 닭강정(중),"8,000"
오리지널 닭강정(소),"3,400"
오징어젓갈,500
한솥 두부강된장소스,"1,800"
한솥 감초볶음고추장소스,500
볶음김치,500
김치,400
무말랭이 무침,400
한솥밥,"1,000"
현미밥,"1,700"
리얼 티라미수 찰떡,"1,500"
리얼꿀 미니호떡,"2,200"
